Customer ID,,Name,Age,SSN,Occupation,Annual Income,,Num Bank Accounts,Num Credit Card,Interest Rate,Num of Loan,Type of Loan,Delay from due date,Num of Delayed Payment,Changed Credit Limit,Num Credit Inquiries,CreditAbove StandardMix,Outstanding Debt,Credit Utilization Ratio,,,Total EMI per month,Amount invested monthly,Payment Behaviour,Monthly Balance,,Monthly_In_Hand_Salary,Credit History Age (Months)
CUS 0xa66b,,Saphirj,41,221-30-8554,Teacher,33751.27,,5,5,20,3,"Credit-Builder Loan, Personal Loan, and Auto Loan",16,19,11,8,Standard,1328.93,27.98,,,65.01,271.21,Low spent Small value payments,248.64,,2531.35,238
CUS 0xa66b,,Saphirj,41,221-30-8554,       ,33751.27,,5,5,20,3,"Credit-Builder Loan, Personal Loan, and Auto Loan",16,20,11,Data Missing,Standard,1328.93,36.78,,,65.01,139.3,Low spent Small value payments,380.55,,2531.35,239
CUS 0xa66b,,Saphirj,41,221-30-8554,Teacher,33751.27,,5,5,20,3,"Credit-Builder Loan, Personal Loan, and Auto Loan",11,20,14,8,Above Standard,1328.93,34.92,,,65.01,333.1,Low spent Small value payments,186.75,,2531.35,240
CUS 0xa66b,,Saphirj,41,221-30-8554,Teacher,33751.27,,5,5,20,3,"Credit-Builder Loan, Personal Loan, and Auto Loan",16,20,11,8,Standard,1328.93,38.59,,,65.01,103.1,High spent Medium value payments,376.75,,2531.35,
CUS 0xc0ab,,Soyoungd,33,342-90-2649,Engineer,88640.24,,3,6,1,2,"Payday Loan, and Payday Loan",4,2,3.51,3,Good,950.36,36.01,,,135.17,77.84,High spent Large value payments,753.65,,6648.02,
CUS 0xc0ab,,Soyoungd,33,342-90-2649,Engineer,88640.24,,3,6,1,2,"Payday Loan, and Payday Loan",4,2,3.51,3,Above Standard,950.36,26.68,,,135.17,143.73,High spent Medium value payments,697.76,,6648.02,314
CUS 0xc0ab,,Soyoungd,33,342-90-2649,       ,88640.24,,3,6,34,2,"Payday Loan, and Payday Loan",-1,2,3.51,5,Good,950.36,38.85,,,135.17,,Low spent Small value payments,411.42,,6648.02,315
CUS 0xc0ab,,Soyoungd,33,342-90-2649,Engineer,88640.24,,3,6,34,2,"Payday Loan, and Payday Loan",5,2,3.51,5,Good,950.36,40.85,,,135.17,365.32,High spent Small value payments,486.18,,6648.02,316
CUS 0x3e45,,Harriet McLeodd,36,414-53-2918,Entrepreneur,54392.16,,6,4,14,3,"Not Specified, Student Loan, and Personal Loan",10,8,5.54,7,Standard,179.22,33.5,,,124.39,329.55,Low spent Large value payments,292.72,,4079.41,330
CUS 0x3e45,,Harriet McLeodd,36,414-53-2918,Entrepreneur,54392.16,,6,4,14,3,"Not Specified, Student Loan, and Personal Loan",10,10,5.54,7,Standard,179.22,34.02,,,124.39,145.33,Low spent Medium value payments,486.95,,4079.41,331
CUS 0x3e45,,Harriet McLeodd,36,414-53-2918,Entrepreneur,54392.16,,6,4,14,3,"Not Specified, Student Loan, and Personal Loan",10,8,5.54,7,Above Standard,179.22,34.09,,,124.39,252.44,High spent Small value payments,359.83,,4079.41,332
CUS 0x3e45,,Harriet McLeodd,36,414-53-2918,Entrepreneur,54392.16,,6,4,14,3,"Not Specified, Student Loan, and Personal Loan",10,10,5.54,7,Above Standard,179.22,27.44,,,124.39,266,High spent Small value payments,346.27,,4079.41,333
CUS 0x6c66,,Sinead Carews,39,328-33-6328,Manager,8701.545,,6,5,32,7,"Personal Loan, Payday Loan, Student Loan, Auto Loan, Home Equity Loan, Student Loan, and Payday Loan",24,9,8.86,9,Standard,2602.69,38.48,,,36.55,,High spent Small value payments,265.56,,652.62,115
CUS 0x6c66,,Sinead Carews,39,328-33-6328,       ,8701.545,,6,5,32,7,"Personal Loan, Payday Loan, Student Loan, Auto Loan, Home Equity Loan, Student Loan, and Payday Loan",23,10,8.86,9,Standard,2602.69,25.38,,,36.55,37.65,Low spent Small value payments,267.72,,652.62,116
CUS 0x6c66,,Sinead Carews,40,328-33-6328,       ,8701.545,,6,5,32,7,"Personal Loan, Payday Loan, Student Loan, Auto Loan, Home Equity Loan, Student Loan, and Payday Loan",23,9,8.86,9,Standard,2602.69,35.79,,,36.55,47.27,Low spent Medium value payments,248.1,,652.62,117
CUS 0x6c66,,Sinead Carews,40,328-33-6328,Manager,8701.545,,6,5,32,7,"Personal Loan, Payday Loan, Student Loan, Auto Loan, Home Equity Loan, Student Loan, and Payday Loan",23,Data Missing,8.86,9,Standard,2602.69,29.6,,,36.55,43.69,Low spent Small value payments,261.68,,652.62,118
CUS 0xff4,,Poornimaf,37,655-05-7666,Entrepreneur,25546.26,,8,7,14,5,"Not Specified, Student Loan, Student Loan, Credit-Builder Loan, and Auto Loan",12,Data Missing,7.83,5,Standard,758.44,25.98,,,101.33,19.36,High spent Large value payments,360.9,,1915.97,226
CUS 0xff4,,Poornimaf,37,655-05-7666,Entrepreneur,25546.26,,8,7,14,5,"Not Specified, Student Loan, Student Loan, Credit-Builder Loan, and Auto Loan",16,14,7.83,7,Standard,758.44,38.64,,,101.33,105.84,Low spent Medium value payments,314.42,,1915.97,227
CUS 0xff4,,Poornimaf,37,Data MIssing,       ,25546.26,,8,7,14,5,"Not Specified, Student Loan, Student Loan, Credit-Builder Loan, and Auto Loan",16,13,6.83,7,Above Standard,758.44,35.51,,,101.33,10000,High spent Large value payments,359.89,,1915.97,228
CUS 0xff4,,Poornimaf,37,655-05-7666,Entrepreneur,25546.26,,8,7,14,5,"Not Specified, Student Loan, Student Loan, Credit-Builder Loan, and Auto Loan",16,15,1.83,7,Standard,758.44,38.49,,,101.33,141.05,Low spent Medium value payments,279.21,,1915.97,229
CUS 0x33d2,,Chalmersa,31,965-46-2491,Scientist,31993.78,,6,6,34,2,"Payday Loan, and Home Equity Loan",8,14,6.28,1,Standard,818.22,37.19,,,45.14,23.27,High spent Large value payments,465.8,,2399.53,210
CUS 0x33d2,,Chalmersa,31,965-46-2491,Scientist,31993.78,,34,6,7,2,"Payday Loan, and Home Equity Loan",8,Data Missing,6.28,1,Standard,818.22,27.11,,,45.14,167.88,Low spent Large value payments,351.19,,2399.53,211
CUS 0x33d2,,Chalmersa,31,Data MIssing,Scientist,31993.78,,6,6,7,2,"Payday Loan, and Home Equity Loan",8,14,6.28,1,Above Standard,818.22,27.96,,,45.14,10000,High spent Medium value payments,388.61,,2399.53,212
CUS 0x33d2,,Chalmersa,31,965-46-2491,       ,31993.78,,6,6,7,2,"Payday Loan, and Home Equity Loan",8,14,6.28,1,Standard,818.22,27.64,,,45.14,86.03,Low spent Large value payments,433.04,,2399.53,213
CUS 0x6070,,Data MIssing,21,891-55-9364,Accountant,92047.08,,6,7,16,0,,11,14,9.13,4,Above Standard,1296.64,39.37,,,0,629.41,Low spent Medium value payments,409.75,,6903.53,358
CUS 0x6070,,Parkm,21,891-55-9364,Accountant,92047.08,,6,7,16,0,,16,11,9.13,4,Standard,1296.64,34.66,,,0,124.48,High spent Large value payments,874.68,,6903.53,359
CUS 0x6070,,Parkm,21,891-55-9364,Accountant,92047.08,,6,7,16,0,,18,Data Missing,16.13,Data Missing,Standard,1296.64,37.48,,,0,503.96,Low spent Small value payments,545.2,,6903.53,360
CUS 0x6070,,Parkm,21,891-55-9364,Accountant,92047.08,,6,7,16,0,,16,8,9.13,4,Above Standard,1296.64,34.31,,,0,384.31,Low spent Medium value payments,654.85,,6903.53,361
CUS 0xfdb,,Patrickg,46,928-91-4452,Teacher,32284.62,,6,7,17,6,"Credit-Builder Loan, Not Specified, Mortgage Loan, Payday Loan, Credit-Builder Loan, and Personal Loan",9,14,9.22,10,Standard,1283.37,28.86,,,251.66,241.57,Low spent Small value payments,235.23,,2421.35,85
CUS 0xfdb,,Data MIssing,46,Data MIssing,Teacher,32284.62,,6,7,17,6,"Credit-Builder Loan, Not Specified, Mortgage Loan, Payday Loan, Credit-Builder Loan, and Personal Loan",11,11,9.22,10,Standard,1283.37,38.28,,,251.66,171.76, Data Missing,285.04,,2421.35,86
CUS 0xfdb,,Patrickg,46,928-91-4452,       ,32284.62,,6,7,17,6,"Credit-Builder Loan, Not Specified, Mortgage Loan, Payday Loan, Credit-Builder Loan, and Personal Loan",11,9,9.22,10,Standard,1283.37,28.97,,,251.66,213.79,Low spent Small value payments,263.01,,2421.35,87
CUS 0xfdb,,Patrickg,46,928-91-4452,Teacher,32284.62,,6,7,17,6,"Credit-Builder Loan, Not Specified, Mortgage Loan, Payday Loan, Credit-Builder Loan, and Personal Loan",11,Data Missing,9.22,10,Standard,1283.37,23.37,,,251.66,57.48,High spent Large value payments,369.32,,2421.35,
CUS 0x3553,,Data MIssing,26,084-25-3745,       ,97791.42,,6,6,12,0,,18,9,17.92,1,Standard,107.41,32.45,,,629.82,,Low spent Large value payments,541.56,,7334.36,334
CUS 0x3553,,Laurence Frosty,27,084-25-3745,Musician,97791.42,,6,6,12,0,,18,8,17.92,1,Standard,107.41,32.48,,,629.82,698.56,Low spent Large value payments,379.37,,7334.36,335
CUS 0x3553,,Laurence Frosty,27,084-25-3745,Musician,97791.42,,6,6,12,0,,18,6,10.92,3,Standard,107.41,36.43,,,629.82,159.58,High spent Medium value payments,898.35,,7334.36,336
CUS 0x3553,,Data MIssing,27,084-25-3745,Musician,97791.42,,6,6,12,0,,17,11,17.92,3,Standard,107.41,31.52,,,629.82,189.07,High spent Large value payments,858.86,,7334.36,337
CUS 0x4100,,Reema,32,068-83-4394,Entrepreneur,19300.34,,6,7,17,5,"Mortgage Loan, Debt Consolidation Loan, Payday Loan, Auto Loan, and Not Specified",51,18,9.95,8,Bad,2430.21,34.48,,,49.57,200.43,Low spent Small value payments,191.24,,1447.53,226
CUS 0x4100,,Reema,32,Data MIssing,Entrepreneur,19300.34,,6,7,17,5,"Mortgage Loan, Debt Consolidation Loan, Payday Loan, Auto Loan, and Not Specified",51,19,5.95,8,Above Standard,2430.21,26.68,,,49.57,191.9,Low spent Small value payments,199.76,,1447.53,
CUS 0x4100,,Reema,32,068-83-4394,Entrepreneur,19300.34,,6,7,17,5,"Mortgage Loan, Debt Consolidation Loan, Payday Loan, Auto Loan, and Not Specified",51,19,9.95,8,Bad,2430.21,37.36,,,49.57,44.51,Low spent Medium value payments,337.15,,1447.53,228
CUS 0x4100,,Data MIssing,32,068-83-4394,Entrepreneur,19300.34,,6,7,17,5,"Mortgage Loan, Debt Consolidation Loan, Payday Loan, Auto Loan, and Not Specified",51,22,9.95,8,Bad,2430.21,39.26,,,49.57,80.39,Low spent Small value payments,311.28,,1447.53,
CUS 0x132f,,Mark Felsenthald,41,561-60-9294,Musician,19514.88,,7,5,17,0,,34,12,4.17,4,Above Standard,881.4,25.65,,,0,148.69,Low spent Small value payments,324.14,,1463.62,
CUS 0x132f,,Data MIssing,42,561-60-9294,Musician,19514.88,,7,5,17,0,,30,15,4.17,4,Standard,881.4,27.22,,,0,63.11,High spent Small value payments,379.71,,1463.62,240
CUS 0x132f,,Mark Felsenthald,42,561-60-9294,Musician,19514.88,,7,5,17,0,,30,14,4.17,4,Standard,881.4,36.37,,,0,202.13,Low spent Small value payments,270.69,,1463.62,241
CUS 0x132f,,Mark Felsenthald,42,561-60-9294,Musician,19514.88,,7,5,17,0,,32,12,4.17,4,Standard,881.4,39.38,,,0,65.5,High spent Medium value payments,367.32,,1463.62,242
CUS 0xa16e,,Lee Chyenz,42,905-50-7912,Media Manager,10183.015,,7,5,17,5,"Credit-Builder Loan, Mortgage Loan, Mortgage Loan, Credit-Builder Loan, and Student Loan",45,23,7.97,8,Bad,1672.43,34.71,,,37.59,52.05, Data Missing,297.82,,763.73,129
CUS 0xa16e,,Lee Chyenz,42,Data MIssing,Media Manager,10183.015,,7,5,17,5,"Credit-Builder Loan, Mortgage Loan, Mortgage Loan, Credit-Builder Loan, and Student Loan",48,21,7.97,8,Bad,1672.43,35.68,,,37.59,101.78,Low spent Medium value payments,248.1,,763.73,130
CUS 0xa16e,,Lee Chyenz,42,905-50-7912,Media Manager,10183.015,,7,5,17,5,"Credit-Builder Loan, Mortgage Loan, Mortgage Loan, Credit-Builder Loan, and Student Loan",48,21,7.97,8,Bad,1672.43,23.68,,,37.59,50.05,Low spent Medium value payments,299.82,,763.73,131
CUS 0xa16e,,Lee Chyenz,42,905-50-7912,Media Manager,10183.015,,7,5,17,5,"Credit-Builder Loan, Mortgage Loan, Mortgage Loan, Credit-Builder Loan, and Student Loan",48,21,7.97,8,Bad,1672.43,33.72,,,37.59,66.98,Low spent Small value payments,292.89,,763.73,132
CUS 0xac86,,Nickb,20,028-16-4402,Entrepreneur,106733.13,,4,4,1,0,,3,6,0.86,1,Good,76.23,29.67,,,0,357.11,Low spent Medium value payments,810.23,,8004.98,401
CUS 0xac86,,Nickb,20,028-16-4402,Entrepreneur,106733.13,,4,4,1,0,,4,5,0.86,1,Good,76.23,41.38,,,0,207.73,High spent Large value payments,919.62,,8004.98,402
CUS 0xac86,,Nickb,20,028-16-4402,Entrepreneur,106733.13,,4,4,1,0,,5,6,-6.14,1,Good,76.23,27.23,,,0,500.53,Low spent Medium value payments,666.81,,8004.98,403
CUS 0xac86,,Nickb,20,028-16-4402,       ,106733.13,,4,4,1,0,,5,6,0.86,1,Above Standard,76.23,32.46,,,0,320.49,High spent Medium value payments,816.85,,8004.98,404
CUS 0x5b48,,McBrideq,32,706-95-0150,Lawyer,12600.445,,5,5,10,3,"Not Specified, Student Loan, and Student Loan",25,19,15.79,11,Standard,569.8,33.65,,,26.06,63.57,Low spent Small value payments,278.58,,945.03,155
CUS 0x5b48,,McBrideq,32,706-95-0150,Lawyer,12600.445,,34,5,10,3,"Not Specified, Student Loan, and Student Loan",25,19,15.79,11,Standard,569.8,39.38,,,26.06,81.86,Low spent Small value payments,260.28,,945.03,156
CUS 0x5b48,,McBrideq,32,706-95-0150,Lawyer,12600.445,,5,5,10,3,"Not Specified, Student Loan, and Student Loan",25,17,15.79,11,Standard,569.8,27.54,,,26.06,52.81,Low spent Small value payments,289.34,,945.03,157
CUS 0x5b48,,McBrideq,32,706-95-0150,Lawyer,12600.445,,5,5,10,3,"Not Specified, Student Loan, and Student Loan",25,Data Missing,15.79,11,Standard,569.8,30.54,,,26.06,19.6,High spent Medium value payments,282.54,,945.03,158
CUS 0xa5f9,,Rickt,34,189-09-5267,Mechanic,57983.12,,9,8,31,8,"Payday Loan, Not Specified, Credit-Builder Loan, Debt Consolidation Loan, Payday Loan, Not Specified, Student Loan, and Student Loan",49,Data Missing,7.27,17,Bad,3532.83,36.79,,,200.43,172.39,High spent Small value payments,359.27,,4348.73,154
CUS 0xa5f9,,Rickt,35,189-09-5267,Mechanic,57983.12,,9,8,31,8,"Payday Loan, Not Specified, Credit-Builder Loan, Debt Consolidation Loan, Payday Loan, Not Specified, Student Loan, and Student Loan",43,22,7.27,17,Above Standard,3532.83,26.58,,,200.43,527.15,Low spent Small value payments,34.51,,4348.73,155
CUS 0xa5f9,,Rickt,35,189-09-5267,Mechanic,57983.12,,9,8,31,8,"Payday Loan, Not Specified, Credit-Builder Loan, Debt Consolidation Loan, Payday Loan, Not Specified, Student Loan, and Student Loan",50,21,7.27,17,Bad,3532.83,35.32,,,200.43,191.04,High spent Medium value payments,330.62,,4348.73,156
CUS 0xa5f9,,Rickt,35,189-09-5267,Mechanic,57983.12,,9,8,31,8,"Payday Loan, Not Specified, Credit-Builder Loan, Debt Consolidation Loan, Payday Loan, Not Specified, Student Loan, and Student Loan",48,Data Missing,7.27,17,Bad,3532.83,35.58,,,200.43,304.2,Low spent Small value payments,257.46,,4348.73,157
CUS 0x4d43,,Reijik,48,013-39-0742,Entrepreneur,20787.69,,8,6,14,3,"Home Equity Loan, Credit-Builder Loan, and Home Equity Loan",22,14,1.13,3,Standard,614.6,38.95,,,42.22,49.5,High spent Medium value payments,358.21,,1559.08,222
CUS 0x4d43,,Reijik,48,013-39-0742,Entrepreneur,20787.69,,8,6,14,3,"Home Equity Loan, Credit-Builder Loan, and Home Equity Loan",22,15,0.13,1905,Standard,614.6,34.66,,,42.22,98.56,Low spent Medium value payments,339.14,,1559.08,
CUS 0x4d43,,Reijik,48,013-39-0742,Entrepreneur,20787.69,,8,6,14,3,"Home Equity Loan, Credit-Builder Loan, and Home Equity Loan",22,15,1.13,3,Standard,614.6,26.55,,,42.22,257.66,Low spent Small value payments,190.05,,1559.08,224
CUS 0x4d43,,Reijik,49,013-39-0742,Entrepreneur,20787.69,,8,6,14,3,"Home Equity Loan, Credit-Builder Loan, and Home Equity Loan",22,14,1.13,5,Standard,614.6,35.33,,,42.22,106.33,Low spent Small value payments,341.38,,1559.08,225
CUS 0xb95f,,Ashleyk,30,467-13-1148,Writer,34290.12,,9,8,25,7,"Home Equity Loan, Credit-Builder Loan, Credit-Builder Loan, Home Equity Loan, Debt Consolidation Loan, Mortgage Loan, and Auto Loan",49,9,13.96,13,Standard,2686.81,38.94,,,185.11,167.28,Low spent Large value payments,187.36,,2571.76,172
CUS 0xb95f,,Ashleyk,30,467-13-1148,Writer,34290.12,,9,8,25,7,"Home Equity Loan, Credit-Builder Loan, Credit-Builder Loan, Home Equity Loan, Debt Consolidation Loan, Mortgage Loan, and Auto Loan",55,9, ,13,Standard,2686.81,27.7,,,185.11,188.38,Low spent Small value payments,186.26,,2571.76,173
CUS 0xb95f,,Ashleyk,30,467-13-1148,Writer,34290.12,,9,8,25,7,"Home Equity Loan, Credit-Builder Loan, Credit-Builder Loan, Home Equity Loan, Debt Consolidation Loan, Mortgage Loan, and Auto Loan",52,11,13.96,13,Standard,2686.81,34.77,,,185.11,50.45,High spent Medium value payments,284.19,,2571.76,174
CUS 0xb95f,,Ashleyk,30,467-13-1148,Writer,34290.12,,9,8,25,7,"Home Equity Loan, Credit-Builder Loan, Credit-Builder Loan, Home Equity Loan, Debt Consolidation Loan, Mortgage Loan, and Auto Loan",52,10,12.96,13,Standard,2686.81,24.09,,,185.11,64.12,High spent Large value payments,260.52,,2571.76,175
CUS 0x3edc,,Data MIssing,33,663-16-3845,       ,43070.24,,3,3,18,1,Debt Consolidation Loan,16,6,14.97,8,Standard,1233.1,41.09,,,30.58,304.95,Low spent Large value payments,296.7,,3230.27,238
